Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
"STR_BLUE_DISPLAYNAME","Blue Brigade","Blue Brigade","Modrá brigáda","Blaue Brigade","Синяя Бригада","Błękitna Brygada","Kék brigád","Brigata Blu","Brigada Azul","Brigade Bleue","藍色旅","ブルーブリゲイド","Brigada Azul","蓝色旅"
"STR_BLUE_WANTED_DISPLAYNAME","Blue Brigade - Wanted","Blue Brigade - Wanted","Modrá brigáda - Hledá se","Blaue Brigade – Gesucht","Синяя бригада - Разыскивается","Błękitna Brygada - poszukiwana","Kék Brigád – Keressük","Brigata Blu - Ricercato","Brigada Azul - Se busca","Brigade Bleue - Recherché","藍色旅 - 通緝","ブルー・ブリゲイド - 指名手配","Brigada Azul - Procurada","蓝色旅 - 通缉"
"STR_YELLOW_DISPLAYNAME","Yellow Helmets","Yellow Helmets","Žluté přilby","Gelbe Helme","Желтые шлемы","Żółte kaski","Sárga sisakok","Caschi gialli","Cascos amarillos","Casques jaunes","黃色頭盔","黄色いヘルメット","Capacetes Amarelos","黄色头盔"
"STR_YELLOW_NBC_DISPLAYNAME","Yellow Helmets - Researcher","Yellow Helmets - Researcher","Žluté přilby - výzkumník","Gelbhelme - Forscher","Желтые каски — исследователь","Żółte Hełmy - Badacz","Sárga sisakok – Kutató","Caschi Gialli - Ricercatore","Cascos Amarillos - Investigador","Casques jaunes - Chercheur","黃頭盔 - 研究員","イエロー ヘルメット - 研究者","Capacetes Amarelos - Pesquisador","黄头盔 - 研究员"
"STR_YELLOW_ELITE_DISPLAYNAME","Yellow Helmets - Elite","Yellow Helmets - Elite","Žluté přilby - Elite","Gelbe Helme – Elite","Желтые Шлемы - Элита","Żółte Hełmy - Elita","Sárga sisakok – elit","Caschi Gialli - Elite","Cascos Amarillos - Élite","Casques jaunes - Élite","黃色頭盔 - 精英","イエロー ヘルメット - エリート","Capacetes Amarelos - Elite","黄色头盔 - 精英"
"STR_HIVE_DISPLAYNAME","Parassites","Parassites","Paraziti","Parasiten","Паразиты","Pasożyty","Paraziták","Parassiti","parásitos","Parasites","寄生蟲","寄生虫","Parasitas","寄生虫"
"STR_HIVE_ELITE_DISPLAYNAME","Parassites - Evolved","Parassites - Evolved","Paraziti – vyvinuli se","Parasiten – entwickelt","Паразиты - Развитые","Pasożyty - wyewoluowały","Paraziták – kifejlődött","Parassiti - Evoluti","Parásitos - Evolucionados","Parasites - Évolué","寄生蟲 - 進化","寄生虫 - 進化した","Parasitas - Evoluídos","寄生虫 - 进化"
"STR_RED_DISPLAYNAME","Red Legion","Red Legion","Rudá legie","Rote Legion","Красный Легион","Czerwony Legion","Vörös Légió","Legione Rossa","Legión Roja","Légion rouge","紅色軍團","レッドリージョン","Legião Vermelha","红色军团"
"STR_RED_WANTED_DISPLAYNAME","Red Legion - Wanted","Red Legion - Wanted","Rudá legie - Hledá se","Rote Legion – Gesucht","Красный Легион - Разыскивается","Czerwony Legion – poszukiwany","Vörös légió – keresik","Legione Rossa - Ricercato","Legión Roja - Se busca","Légion Rouge - Recherché","紅色軍團 - 通緝","レッドリージョン - 手配中","Legião Vermelha - Procurada","红色军团 - 通缉"
"STR_GREEN_DISPLAYNAME","Survivor","Survivor","Přeživší","Überlebende","Выживший","Niedobitek","Túlélő","Sopravvissuto","Sobreviviente","Survivant","倖存者","生存者","Sobrevivente","幸存者"
"STR_GREEN_WANTED_DISPLAYNAME","Survivor - Wanted","Survivor - Wanted","Přeživší – hledaný","Überlebender – Gesucht","Выживший - Разыскивается","Ocalały – poszukiwany","Túlélő – Kerestetik","Sopravvissuto - ricercato","Sobreviviente - Se busca","Survivant - Recherché","倖存者 - 通緝","生存者 - 指名手配","Sobrevivente - Procurado","幸存者 - 通缉"
